reportable_comp,subsection,state,formation_yr,assets,liabilities,expenses,revenue,state_median_income,ntee_letter,total_ex_comp_per_company,percent_of_total_ex_comp,voting_memb_ct,voting_indepmemb_ct,employee_tot_ct,volunteer_tot_ct,salaries_expense_tot_curyr,label
79752.0,501(c)(5),MO,1914,691155,57025.0,1445850.0,1419789.0,53578,J,312994,0.25480360645890976,7,7,5,0,641946,7
165900.0,501(c)(12),MO,1938,50794527,6113037.0,27724289.0,31161674.0,53578,W,165900,1.0,9,9,35,0,51450,3
167145.0,501(c)(12),MO,1938,99493426,62029353.0,29906653.0,32523046.0,53578,W,257635,0.6487666660197566,7,7,49,0,305648,3
90490.0,501(c)(12),MO,1938,99493426,62029353.0,29906653.0,32523046.0,53578,W,257635,0.35123333398024337,7,7,49,0,305648,3
86543.0,501(c)(5),MO,1929,417674,0.0,571495.0,678777.0,53578,J,86543,1.0,11,8,3,0,330748,3
62070.0,501(c)(5),MO,1972,245330,0.0,397715.0,349547.0,53578,J,62070,1.0,7,0,10,0,222588,7
101396.0,501(c)(12),MO,1938,47394004,29240921.0,13591117.0,14027591.0,53578,W,276980,0.3660769730666473,8,8,35,0,384369,3
175584.0,501(c)(12),MO,1938,47394004,29240921.0,13591117.0,14027591.0,53578,W,276980,0.6339230269333526,8,8,35,0,384369,3
1193071.0,501(c)(12),MO,1939,110388158,72544543.0,17785851.0,19981882.0,53578,W,1193071,1.0,12,12,88,0,7289775,3
97482.0,501(c)(5),MO,1944,6003836,11.0,2016931.0,2138710.0,53578,J,435234,0.22397606804615447,7,3,14,0,838485,3
97608.0,501(c)(5),MO,1944,6003836,11.0,2016931.0,2138710.0,53578,J,435234,0.22426556748783413,7,3,14,0,838485,3
114052.0,501(c)(5),MO,1944,6003836,11.0,2016931.0,2138710.0,53578,J,435234,0.2620475422416447,7,3,14,0,838485,3
126092.0,501(c)(5),MO,1944,6003836,11.0,2016931.0,2138710.0,53578,J,435234,0.2897108222243667,7,3,14,0,838485,3
153859.0,501(c)(5),MO,1942,14247132,129194.0,4657764.0,3450475.0,53578,J,921550,0.1669567576365905,8,7,8,0,1759743,1
162258.0,501(c)(5),MO,1942,14247132,129194.0,4657764.0,3450475.0,53578,J,921550,0.1760707503662308,8,7,8,0,1759743,1
152451.0,501(c)(5),MO,1942,14247132,129194.0,4657764.0,3450475.0,53578,J,921550,0.16542889696706636,8,7,8,0,1759743,1
151188.0,501(c)(5),MO,1942,14247132,129194.0,4657764.0,3450475.0,53578,J,921550,0.1640583799034236,8,7,8,0,1759743,1
150165.0,501(c)(5),MO,1942,14247132,129194.0,4657764.0,3450475.0,53578,J,921550,0.1629482936357224,8,7,8,0,1759743,1
151629.0,501(c)(5),MO,1942,14247132,129194.0,4657764.0,3450475.0,53578,J,921550,0.1645369214909663,8,7,8,0,1759743,1
126500.0,501(c)(6),MO,1972,3707409,166853.0,1276614.0,1010839.0,53578,S,126500,1.0,30,30,11,0,672950,3
128333.0,501(c)(12),MO,1938,193968948,114208721.0,64466264.0,64466264.0,53578,W,322128,0.3983913227040183,9,9,128,0,0,3
193795.0,501(c)(12),MO,1938,193968948,114208721.0,64466264.0,64466264.0,53578,W,322128,0.6016086772959818,9,9,128,0,0,3
166391.0,501(c)(6),MO,1942,968914,1022090.0,3227159.0,3428246.0,53578,S,166391,1.0,8,8,27,303,1435532,2
77235.0,501(c)(5),MO,1972,1532566,0.0,442863.0,545723.0,53578,J,77235,1.0,11,10,4,0,220125,0
156674.0,501(c)(12),MO,1938,172767582,85881713.0,67257867.0,71839062.0,53578,W,534535,0.2931033515111265,9,9,85,0,994732,2
